SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
128,POND PINE,PINUS,SEROTINA,PISE,PINUS SEROTINA,EVERGREEN
129,EASTERN WHITE PINE,PINUS,STROBUS,PIST,PINUS STROBUS,EVERGREEN
130,SCOTCH PINE,PINUS,SYLVESTRIS,PISY,PINUS SYLVESTRIS,EVERGREEN
131,LOBLOLLY PINE,PINUS,TAEDA,PITA,PINUS TAEDA,EVERGREEN
132,VIRGINIA PINE,PINUS,VIRGINIANA,PIVI2,PINUS VIRGINIANA,EVERGREEN
133,SINGLELEAF PINYON,PINUS,MONOPHYLLA,PIMO,PINUS MONOPHYLLA,EVERGREEN
134,BORDER PINYON,PINUS,DISCOLOR,PIDI3,PINUS DISCOLOR,EVERGREEN
135,ARIZONA PINE,PINUS,ARIZONICA,PIAR5,PINUS ARIZONICA,EVERGREEN
136,AUSTRIAN PINE,PINUS,NIGRA,PINI,PINUS NIGRA,EVERGREEN
137,WASHOE PINE,PINUS,WASHOENSIS,PIWA,PINUS WASHOENSIS,EVERGREEN
138,FOUR-LEAF OR PARRY PINYON PINE,PINUS,QUADRIFOLIA,PIQU,PINUS QUADRIFOLIA,EVERGREEN
139,TORREY PINE,PINUS,TORREYANA,PITO,PINUS TORREYANA,EVERGREEN
140,MEXICAN PINYON PINE,PINUS,CEMBROIDES,PICE,PINUS CEMBROIDES,EVERGREEN
141,PAPERSHELL PINYON PINE,PINUS,REMOTA,PIRE5,PINUS REMOTA,EVERGREEN
142,GREAT BASIN BRISTLECONE PINE,PINUS,LONGAEVA,PILO,PINUS LONGAEVA,EVERGREEN
143,ARIZONA PINYON PINE,PINUS,MONOPHYLLA,PIMOF,PINUS MONOPHYLLA,EVERGREEN
144,HONDURAS PINE,PINUS,ELLIOTTII,PIELE2,PINUS ELLIOTTII,EVERGREEN
200,DOUGLAS-FIR SPP.,PSEUDOTSUGA,SPP.,PSEUD7,PSEUDOTSUGA SPP.,EVERGREEN
201,BIGCONE DOUGLAS-FIR,PSEUDOTSUGA,MACROCARPA,PSMA,PSEUDOTSUGA MACROCARPA,EVERGREEN
202,DOUGLAS-FIR,PSEUDOTSUGA,MENZIESII,PSME,PSEUDOTSUGA MENZIESII,EVERGREEN
211,REDWOOD,SEQUOIA,SEMPERVIRENS,SESE3,SEQUOIA SEMPERVIRENS,EVERGREEN
212,GIANT SEQUOIA,SEQUOIADENDRON,GIGANTEUM,SEGI2,SEQUOIADENDRON GIGANTEUM,EVERGREEN
