"SpeciesPLANTS","SPCD","GENUS","FIA_TYPE","LEAF_RETEN","R3_SHADE_TOL","R3_DIA_MEAS"
"FRNI",543,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRPE",544,"FRAXINUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"FRPR",545,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRQU",546,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRTE",549,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRVE2",547,"FRAXINUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"GIBI2",561,"GINKGO","DECIDUOUS","DECIDUOUS",NA,NA
"GLAQ",551,"GLEDITSIA","DECIDUOUS","DECIDUOUS",NA,NA
"GLEDI",550,"GLEDITSIA","DECIDUOUS","DECIDUOUS",NA,NA
"GLTR",552,"GLEDITSIA","DECIDUOUS","DECIDUOUS",NA,NA
"GOLA",555,"GORDONIA","DECIDUOUS","DECIDUOUS",NA,NA
"GUDI",882,"GUAPIRA","DECIDUOUS","DECIDUOUS",NA,NA
"GYDI",571,"GYMNOCLADUS","DECIDUOUS","DECIDUOUS",NA,NA
"HACA3",581,"HALESIA","DECIDUOUS","DECIDUOUS",NA,NA
"HADI3",582,"HALESIA","DECIDUOUS","DECIDUOUS",NA,NA
"HALES",580,"HALESIA","DECIDUOUS","DECIDUOUS",NA,NA
"HAPA2",583,"HALESIA","DECIDUOUS","DECIDUOUS",NA,NA
"HIMA2",883,"HIPPOMANE","DECIDUOUS","DECIDUOUS",NA,NA
"ILOP",591,"ILEX","DECIDUOUS","DECIDUOUS",NA,NA
"JUAS",61,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUCA",604,"JUGLANS","DECIDUOUS","DECIDUOUS",NA,NA
"JUCA7",62,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"JUCI",601,"JUGLANS","DECIDUOUS","DECIDUOUS",NA,NA
"JUCO11",59,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUDE2",63,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUFL",60,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"JUGLA",600,"JUGLANS","DECIDUOUS","DECIDUOUS",NA,NA
"JUHI",603,"JUGLANS","DECIDUOUS","DECIDUOUS",NA,NA
"JUMA",606,"JUGLANS","DECIDUOUS","DECIDUOUS","INT","DRC"
"JUMI",605,"JUGLANS","DECIDUOUS","DECIDUOUS","INT","DRC"
"JUMO",69,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUNI",602,"JUGLANS","DECIDUOUS","DECIDUOUS",NA,NA
"JUNIP",57,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"JUOC",64,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"JUOS",65,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUPI",58,"JUNIPERUS","EVERGREEN","EVERGREEN","INT",NA
"JUSC2",66,"JUNIPERUS","EVERGREEN","EVERGREEN","INT","DRC"
"JUVI",68,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"JUVIS",67,"JUNIPERUS","EVERGREEN","EVERGREEN",NA,NA
"LAKA2",74,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LALA",71,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LALY",72,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LAOC",73,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LARA2",988,"LAGUNCULARIA","DECIDUOUS","DECIDUOUS",NA,NA
"LARIX",70,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LASI3",75,"LARIX","EVERGREEN","EVERGREEN",NA,NA
"LEPU3",869,"LEUCAENA","DECIDUOUS","DECIDUOUS",NA,NA
"LIDE3",631,"LITHOCARPUS","DECIDUOUS","DECIDUOUS",NA,NA
"LIST2",611,"LIQUIDAMBAR","DECIDUOUS","DECIDUOUS",NA,NA
"LITU",621,"LIRIODENDRON","DECIDUOUS","DECIDUOUS",NA,NA
"LYLA3",884,"LYSILOMA","DECIDUOUS","DECIDUOUS",NA,NA
"MAAC",651,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAAN3",662,"MALUS","DECIDUOUS","DECIDUOUS",NA,NA
"MACO5",663,"MALUS","DECIDUOUS","DECIDUOUS",NA,NA
"MAFR",655,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAFU",661,"MALUS","DECIDUOUS","DECIDUOUS",NA,NA
"MAGNO",650,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAGR4",652,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAIN3",885,"MANGIFERA","DECIDUOUS","DECIDUOUS",NA,NA
"MAIO",664,"MALUS","DECIDUOUS","DECIDUOUS",NA,NA
"MALUS",660,"MALUS","DECIDUOUS","DECIDUOUS",NA,NA
"MAMA2",654,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAPA28",715,"MAYTENUS","DECIDUOUS","DECIDUOUS",NA,NA
"MAPO",641,"MACLURA","DECIDUOUS","DECIDUOUS",NA,NA
"MAPY",657,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MATR",658,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MAVI2",653,"MAGNOLIA","DECIDUOUS","DECIDUOUS",NA,NA
"MEAZ",993,"MELIA","DECIDUOUS","DECIDUOUS",NA,NA
"MEQU",992,"MELALEUCA","DECIDUOUS","DECIDUOUS",NA,NA
"METO3",886,"METOPIUM","DECIDUOUS","DECIDUOUS",NA,NA
"MOAL",681,"MORUS","DECIDUOUS","DECIDUOUS","INT",NA
"MOMI",683,"MORUS","DECIDUOUS","DECIDUOUS","INT",NA
"MONI",684,"MORUS","DECIDUOUS","DECIDUOUS",NA,NA
"MORU2",682,"MORUS","DECIDUOUS","DECIDUOUS",NA,NA
"MORUS",680,"MORUS","DECIDUOUS","DECIDUOUS",NA,NA
"NYAQ2",691,"NYSSA","DECIDUOUS","DECIDUOUS",NA,NA
"NYBI",694,"NYSSA","DECIDUOUS","DECIDUOUS",NA,NA
"NYOG",692,"NYSSA","DECIDUOUS","DECIDUOUS",NA,NA
"NYSSA",690,"NYSSA","DECIDUOUS","DECIDUOUS",NA,NA
"NYSY",693,"NYSSA","DECIDUOUS","DECIDUOUS",NA,NA
"OLTE",990,"OLNEYA","DECIDUOUS","EVERGREEN","INT","DRC"
"OSTR",718,"OSMOXYLON","DECIDUOUS","DECIDUOUS",NA,NA
"OSVI",701,"OSTRYA","DECIDUOUS","DECIDUOUS",NA,NA
"OXAR",711,"OXYDENDRUM","DECIDUOUS","DECIDUOUS",NA,NA
"PATO2",712,"PAULOWNIA","DECIDUOUS","DECIDUOUS",NA,NA
"PEBO",721,"PERSEA","DECIDUOUS","DECIDUOUS",NA,NA
"PERSE",720,"PERSEA","DECIDUOUS","DECIDUOUS",NA,NA
"PIAB",91,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PIAL",101,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIAR",102,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PIAR5",135,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PIAT",103,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIBA",104,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIBA2",105,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIBR",92,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PICE",140,"PINUS","EVERGREEN","EVERGREEN","INT","DRC"
"PICEA",90,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PICL",107,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PICO",108,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PICO3",109,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIDI3",134,"PINUS","EVERGREEN","EVERGREEN","INT","DRC"
"PIEC2",110,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIED",106,"PINUS","EVERGREEN","EVERGREEN","INT","DRC"
"PIEL",111,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIELE2",144,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIEN",93,"PICEA","EVERGREEN","EVERGREEN","TOL","DBH"
"PIEN2",112,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PIFL2",113,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PIGL",94,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PIGL2",115,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIJE",116,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PILA",117,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PILE",118,"PINUS","EVERGREEN","EVERGREEN","INT","DBH"
"PILO",142,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIMA",95,"PICEA","EVERGREEN","EVERGREEN",NA,NA
"PIMO",133,"PINUS","EVERGREEN","EVERGREEN","INT","DRC"
"PIMO3",119,"PINUS","EVERGREEN","EVERGREEN",NA,NA
"PIMOF",143,"PINUS","EVERGREEN","EVERGREEN",NA,NA
